,smiles,sequence,interactions
0,0,0,0
1,1,1,0
2,2,0,0
3,4,3,0
4,5,4,0
5,6,5,1
6,7,6,0
7,9,8,1
8,10,9,1
9,11,10,0
10,13,12,1
11,16,15,1
12,17,16,1
13,18,17,0
14,19,18,0
15,20,19,1
16,21,20,1
17,23,22,1
18,24,23,0
19,25,24,0
20,26,25,0
21,27,26,0
22,29,28,1
23,30,29,0
24,33,32,0
25,36,34,1
26,37,35,1
27,38,36,0
28,40,38,1
29,41,39,1
30,42,17,0
31,44,41,0
32,45,42,0
33,47,44,0
34,48,45,0
35,51,40,1
36,53,47,1
37,54,48,0
38,55,49,1
39,56,50,1
40,58,52,0
41,59,53,1
42,60,54,0
43,61,55,1
44,62,56,0
45,63,57,0
46,64,47,1
47,65,58,1
48,66,59,0
49,67,60,0
50,68,38,1
51,70,61,1
52,71,62,0
53,73,64,0
54,74,52,0
55,75,65,1
56,76,66,0
57,77,67,1
58,78,68,0
59,79,69,1
60,80,70,0
61,82,71,0
62,83,7,0
63,84,66,0
64,85,72,0
65,91,0,1
66,92,76,0
67,93,77,0
68,99,52,0
69,100,82,1
70,101,83,1
71,103,84,1
72,104,85,1
73,106,17,0
74,107,87,1
75,108,0,0
76,109,77,0
77,110,72,1
78,111,34,0
79,112,40,1
80,113,88,1
81,114,89,0
82,116,91,1
83,117,7,0
84,118,3,0
85,119,92,1
86,122,95,1
87,123,0,0
88,124,96,0
89,126,98,1
90,127,99,1
91,128,39,1
92,130,52,0
93,132,35,1
94,133,101,0
95,137,104,1
96,139,106,1
97,140,102,0
98,141,42,0
99,142,107,1
100,143,39,1
101,146,75,1
102,147,109,1
103,148,40,1
104,149,18,0
105,151,111,0
106,152,112,0
107,153,113,1
108,154,50,1
109,155,114,1
110,156,5,0
111,157,115,0
112,158,50,0
113,42,20,0
114,159,116,1
115,160,117,0
116,161,17,0
117,162,118,0
118,163,119,0
119,165,82,1
120,166,120,0
121,167,121,1
122,168,122,1
123,170,83,1
124,171,124,1
125,172,83,1
126,173,68,0
127,176,126,1
128,177,22,1
129,178,127,0
130,179,128,0
131,180,129,1
132,182,106,1
133,185,35,1
134,187,132,0
135,188,134,1
136,190,3,0
137,191,18,0
138,192,3,0
139,194,136,1
140,195,137,0
141,196,138,0
142,197,139,1
143,198,9,0
144,199,140,1
145,200,141,0
146,201,142,0
147,203,13,0
148,204,17,0
149,205,144,0
150,208,50,1
151,209,145,1
152,210,146,0
153,211,39,1
154,212,147,0
155,213,148,1
156,214,149,0
157,215,72,1
158,217,151,1
159,218,152,0
160,219,153,1
161,220,154,0
162,221,73,0
163,222,155,0
164,223,156,0
165,225,157,1
166,227,159,0
167,228,160,1
168,229,161,1
169,231,50,1
170,232,163,0
171,233,164,1
172,234,48,0
173,235,165,1
174,236,166,1
175,238,168,1
176,240,170,1
177,241,171,0
178,243,173,1
179,244,174,0
180,246,175,0
181,247,125,1
182,249,43,0
183,250,3,0
184,251,77,0
185,252,177,1
186,254,179,1
187,255,61,1
188,259,52,0
189,260,181,0
190,261,182,0
191,262,40,1
192,263,3,0
