,smiles,sequence,interactions
0,0,0,0
1,1,1,0
2,2,0,0
3,4,3,0
4,5,4,0
5,6,5,1
6,7,6,0
7,8,7,0
8,9,8,1
9,10,9,1
10,11,10,0
11,12,11,0
12,13,12,1
13,14,13,0
14,15,14,0
15,16,15,1
16,17,16,1
17,18,17,0
18,19,18,0
19,20,19,1
20,22,21,0
21,23,22,1
22,25,24,0
23,26,25,0
24,27,26,0
25,29,28,1
26,33,32,0
27,34,25,0
28,35,33,0
29,36,34,1
30,38,36,0
31,40,38,1
32,41,39,1
33,42,17,0
34,44,41,0
35,45,42,0
36,46,43,0
37,47,44,0
38,48,45,0
39,49,5,0
40,50,39,1
41,52,46,1
42,53,47,1
43,57,51,1
44,58,52,0
45,59,53,1
46,60,54,0
47,61,55,1
48,62,56,0
49,63,57,0
50,64,47,1
51,68,38,1
52,71,62,0
53,72,63,1
54,73,64,0
55,74,52,0
56,78,68,0
57,79,69,1
58,80,70,0
59,81,38,1
60,82,71,0
61,83,7,0
62,86,39,1
63,87,73,1
64,88,74,1
65,89,75,1
66,90,64,0
67,91,0,1
68,92,76,0
69,93,77,0
70,94,78,1
71,95,79,0
72,96,80,1
73,97,81,1
74,98,7,0
75,99,52,0
76,101,83,1
77,102,33,1
78,104,85,1
79,105,86,1
80,106,17,0
81,107,87,1
82,108,0,0
83,109,77,0
84,111,34,0
85,115,90,1
86,116,91,1
87,117,7,0
88,118,3,0
89,121,94,1
90,122,95,1
91,123,0,0
92,125,97,1
93,126,98,1
94,128,39,1
95,129,100,1
96,130,52,0
97,131,54,1
98,133,101,0
99,136,18,0
100,137,104,1
101,139,106,1
102,141,42,0
103,142,107,1
104,143,39,1
105,144,108,1
106,145,77,0
107,146,75,1
108,147,109,1
109,149,18,0
110,151,111,0
111,152,112,0
112,153,113,1
113,155,114,1
114,156,5,0
115,157,115,0
116,159,116,1
117,160,117,0
118,161,17,0
119,162,118,0
120,164,39,1
121,166,120,0
122,168,122,1
123,170,83,1
124,171,124,1
125,172,83,1
126,173,68,0
127,174,125,0
128,175,52,0
129,176,126,1
130,177,22,1
131,178,127,0
132,180,129,1
133,181,130,1
134,182,106,1
135,184,18,0
136,186,131,0
137,187,132,0
138,89,133,0
139,188,134,1
140,189,135,1
141,190,3,0
142,191,18,0
143,192,3,0
144,193,135,1
145,194,136,1
146,195,137,0
147,196,138,0
148,197,139,1
149,198,9,0
150,199,140,1
151,200,141,0
152,203,13,0
153,204,17,0
154,205,144,0
155,207,39,1
156,209,145,1
157,210,146,0
158,211,39,1
159,212,147,0
160,213,148,1
161,214,149,0
162,216,150,0
163,218,152,0
164,219,153,1
165,220,154,0
166,221,73,0
167,223,156,0
168,224,3,0
169,225,157,1
170,226,158,1
171,230,162,0
172,232,163,0
173,233,164,1
174,237,167,1
175,238,168,1
176,239,169,0
177,241,171,0
178,244,174,0
179,245,7,0
180,247,125,1
181,248,176,1
182,249,43,0
183,250,3,0
184,251,77,0
185,253,178,1
186,254,179,1
187,256,100,1
188,258,77,0
189,259,52,0
190,260,181,0
191,261,182,0
192,263,3,0
