,smiles,sequence,interactions
0,0,0,0
1,2,2,0
2,3,3,1
3,4,4,0
4,5,5,1
5,6,6,0
6,8,8,1
7,9,9,0
8,10,10,1
9,11,11,1
10,12,12,0
11,13,13,1
12,16,16,0
13,17,17,1
14,19,19,0
15,20,20,0
16,22,22,0
17,24,24,1
18,25,25,0
19,27,27,1
20,28,28,0
21,29,29,1
22,30,30,0
23,31,31,0
24,32,32,1
25,36,36,1
26,39,39,0
27,40,40,0
28,41,41,1
29,42,42,0
30,44,14,1
31,45,44,0
32,47,22,0
33,48,46,0
34,49,14,1
35,50,47,0
36,52,49,1
37,53,50,0
38,56,53,0
39,58,56,0
40,60,58,1
41,61,27,1
42,63,60,1
43,64,61,0
44,65,62,1
45,67,64,1
46,68,65,0
47,69,66,0
48,70,67,1
49,71,68,1
50,72,69,1
51,73,70,0
52,75,69,1
53,76,29,1
54,77,72,1
55,78,73,1
56,80,74,1
57,82,76,1
58,84,78,0
59,85,79,0
60,87,81,0
61,88,82,0
62,90,84,1
63,91,85,0
64,93,87,1
65,94,88,0
66,96,29,1
67,97,89,0
68,98,90,1
69,99,91,0
70,101,14,1
71,102,28,0
72,103,93,0
73,105,95,1
74,107,97,0
75,111,101,0
76,44,72,1
77,107,105,1
78,103,106,1
79,116,108,0
80,118,110,0
81,119,111,1
82,120,112,1
83,122,115,1
84,123,116,1
85,125,117,0
86,126,118,1
87,9,119,0
88,128,121,0
89,129,122,1
90,131,124,0
91,132,125,1
92,133,126,0
93,134,127,0
94,135,128,1
95,136,129,0
96,137,130,1
97,138,77,1
98,139,131,1
99,140,132,1
100,141,95,1
101,142,133,0
102,143,134,0
103,144,135,0
104,145,127,0
105,146,136,1
106,147,137,0
107,148,138,1
108,150,140,1
109,152,141,1
110,153,8,1
111,13,143,1
112,154,144,1
113,156,145,0
114,72,147,1
115,158,77,1
116,160,149,1
117,162,149,1
118,163,151,0
119,165,153,0
120,166,138,1
121,167,154,0
122,168,155,0
123,169,156,0
124,170,157,0
125,171,77,1
126,172,158,0
127,87,159,0
128,173,160,0
129,174,161,0
130,175,162,0
131,176,163,1
132,177,164,1
133,179,166,1
134,182,167,1
135,183,168,1
136,185,106,1
137,186,164,1
138,190,60,1
139,191,171,0
140,192,60,1
141,193,77,1
142,195,173,1
143,196,174,0
144,197,175,0
145,198,176,1
146,200,60,1
147,202,178,0
148,203,179,0
149,204,180,0
150,206,181,0
151,209,184,1
152,210,99,0
153,211,185,1
154,212,186,1
155,213,187,0
156,218,192,1
157,219,193,0
158,220,194,1
159,221,195,1
160,222,196,0
161,223,197,0
162,224,198,0
163,225,199,1
164,226,200,0
165,227,98,0
166,228,74,1
167,232,203,0
168,233,23,0
169,234,204,1
170,241,209,0
171,242,210,0
172,243,211,0
173,244,101,1
174,245,212,0
175,246,77,1
176,247,213,0
177,248,214,1
178,72,125,1
179,253,219,0
180,255,221,0
181,256,222,1
182,65,223,1
183,258,224,1
184,259,111,1
185,260,69,1
186,262,226,0
187,228,106,1
188,11,227,0
189,263,228,1
190,264,229,0
191,265,230,0
192,266,231,0
193,268,233,1
194,270,235,0
195,271,236,1
196,72,237,1
197,65,238,1
198,272,239,0
199,273,240,1
200,274,241,0
201,275,242,0
202,135,14,1
203,278,245,0
204,280,247,0
205,282,198,0
206,283,249,0
207,284,94,1
208,286,250,1
209,287,74,1
210,228,14,1
211,289,92,1
212,290,252,0
213,292,254,1
214,294,256,0
215,295,257,0
216,297,52,1
217,298,259,0
218,75,260,1
219,299,261,1
220,301,262,1
221,302,263,0
222,65,264,1
223,303,111,1
224,304,49,0
225,305,265,1
226,306,243,0
227,307,116,1
228,309,27,1
229,310,268,1
230,311,253,1
231,313,77,1
232,315,271,0
233,316,95,0
234,317,272,1
235,319,80,1
236,320,274,0
237,65,275,1
238,321,276,0
239,72,277,1
240,322,29,1
241,323,278,1
242,324,5,1
243,326,280,0
244,327,281,1
245,328,282,1
246,330,283,0
247,142,284,0
248,331,285,0
249,332,286,0
250,333,287,0
251,335,118,1
252,336,274,0
253,338,288,0
254,339,289,1
255,340,290,1
256,341,291,0
257,342,292,0
258,343,293,1
259,68,294,0
260,345,130,1
261,346,296,1
262,347,177,1
263,348,125,1
