,smiles,sequence,interactions
0,2,2,0
1,3,3,1
2,4,4,0
3,6,6,0
4,7,7,0
5,8,8,1
6,10,10,1
7,12,12,0
8,13,13,1
9,14,14,1
10,15,15,0
11,16,16,0
12,17,17,1
13,18,18,1
14,20,20,0
15,21,21,0
16,22,22,0
17,23,23,1
18,25,25,0
19,26,26,0
20,27,27,1
21,29,29,1
22,30,30,0
23,31,31,0
24,34,34,0
25,35,35,1
26,37,37,1
27,38,38,1
28,39,39,0
29,40,40,0
30,41,41,1
31,44,14,1
32,47,22,0
33,48,46,0
34,49,14,1
35,50,47,0
36,51,48,1
37,52,49,1
38,54,51,0
39,55,52,1
40,15,54,1
41,58,56,0
42,59,57,0
43,60,58,1
44,61,27,1
45,64,61,0
46,65,62,1
47,66,63,0
48,67,64,1
49,69,66,0
50,70,67,1
51,71,68,1
52,72,69,1
53,73,70,0
54,74,71,0
55,75,69,1
56,76,29,1
57,77,72,1
58,78,73,1
59,84,78,0
60,85,79,0
61,86,80,1
62,87,81,0
63,90,84,1
64,91,85,0
65,92,86,1
66,93,87,1
67,94,88,0
68,96,29,1
69,97,89,0
70,98,90,1
71,99,91,0
72,100,92,1
73,101,14,1
74,105,95,1
75,106,96,1
76,110,100,1
77,111,101,0
78,112,51,1
79,113,102,0
80,114,103,0
81,44,72,1
82,107,105,1
83,103,106,1
84,55,107,0
85,117,109,0
86,118,110,0
87,119,111,1
88,120,112,1
89,121,113,0
90,122,115,1
91,125,117,0
92,126,118,1
93,9,119,0
94,127,120,0
95,128,121,0
96,129,122,1
97,130,123,1
98,132,125,1
99,133,126,0
100,139,131,1
101,140,132,1
102,23,14,1
103,141,95,1
104,142,133,0
105,143,134,0
106,144,135,0
107,146,136,1
108,147,137,0
109,149,139,0
110,150,140,1
111,152,141,1
112,109,142,1
113,153,8,1
114,13,143,1
115,154,144,1
116,155,106,1
117,156,145,0
118,157,146,0
119,72,147,1
120,159,148,1
121,161,150,0
122,163,151,0
123,164,152,1
124,165,153,0
125,169,156,0
126,104,27,1
127,172,158,0
128,87,159,0
129,173,160,0
130,174,161,0
131,175,162,0
132,176,163,1
133,177,164,1
134,178,165,0
135,179,166,1
136,183,168,1
137,184,139,1
138,185,106,1
139,186,164,1
140,187,169,1
141,188,148,1
142,189,170,0
143,191,171,0
144,194,172,0
145,195,173,1
146,196,174,0
147,197,175,0
148,198,176,1
149,199,84,1
150,201,177,0
151,202,178,0
152,204,180,0
153,205,88,1
154,206,181,0
155,208,183,0
156,209,184,1
157,213,187,0
158,216,190,0
159,217,191,0
160,220,194,1
161,221,195,1
162,222,196,0
163,223,197,0
164,224,198,0
165,226,200,0
166,229,201,0
167,230,202,0
168,233,23,0
169,234,204,1
170,236,205,1
171,237,206,1
172,238,207,0
173,239,208,1
174,241,209,0
175,242,210,0
176,244,101,1
177,247,213,0
178,248,214,1
179,249,215,0
180,72,125,1
181,253,219,0
182,255,221,0
183,256,222,1
184,65,223,1
185,257,18,1
186,258,224,1
187,259,111,1
188,260,69,1
189,261,225,0
190,262,226,0
191,228,106,1
192,11,227,0
193,263,228,1
194,264,229,0
195,266,231,0
196,267,232,1
197,268,233,1
198,270,235,0
199,271,236,1
200,72,237,1
201,272,239,0
202,273,240,1
203,274,241,0
204,275,242,0
205,135,14,1
206,277,244,1
207,278,245,0
208,279,246,1
209,282,198,0
210,285,80,0
211,286,250,1
212,228,14,1
213,289,92,1
214,290,252,0
215,291,253,1
216,293,255,0
217,295,257,0
218,296,258,1
219,297,52,1
220,298,259,0
221,75,260,1
222,299,261,1
223,300,261,0
224,301,262,1
225,65,264,1
226,303,111,1
227,83,106,1
228,304,49,0
229,305,265,1
230,184,266,1
231,308,267,0
232,309,27,1
233,310,268,1
234,311,253,1
235,312,269,1
236,314,270,0
237,315,271,0
238,316,95,0
239,317,272,1
240,318,273,1
241,319,80,1
242,320,274,0
243,65,275,1
244,321,276,0
245,322,29,1
246,325,279,0
247,326,280,0
248,328,282,1
249,329,253,1
250,330,283,0
251,142,284,0
252,333,287,0
253,334,273,1
254,335,118,1
255,336,274,0
256,337,253,1
257,339,289,1
258,340,290,1
259,341,291,0
260,342,292,0
261,343,293,1
262,344,282,1
263,35,295,1
264,347,177,1
265,348,125,1
266,350,298,0
267,352,229,1
268,353,300,0
269,354,8,0
270,356,302,0
271,358,304,1
272,361,305,1
273,362,145,1
274,363,106,1
275,364,306,0
276,365,307,0
277,366,308,1
278,367,214,1
279,369,310,0
280,370,311,1
281,371,312,1
282,136,315,0
283,374,237,1
284,375,316,0
285,376,317,0
286,379,103,0
287,151,318,1
288,380,125,1
289,381,319,0
290,382,320,0
291,152,321,0
292,383,148,1
293,384,322,0
294,385,323,0
295,388,210,0
296,377,68,0
297,389,325,0
298,366,327,1
299,391,328,0
300,393,329,0
301,394,330,0
302,396,72,1
303,397,332,1
304,109,333,1
305,398,334,1
306,399,335,0
307,400,336,1
308,401,148,1
309,402,337,0
310,403,338,0
311,328,339,1
312,404,302,0
313,405,340,1
314,406,341,1
315,407,87,1
316,408,80,0
317,409,342,1
318,199,67,1
319,411,41,0
320,412,29,1
321,413,88,1
322,416,345,0
323,417,346,0
324,419,348,0
325,168,208,1
326,297,282,1
327,421,349,0
328,423,260,0
329,425,165,0
330,426,118,1
331,427,351,0
332,428,352,1
333,430,354,0
334,431,355,0
335,433,356,0
336,434,14,1
337,211,194,1
338,435,357,0
339,436,358,0
340,437,359,0
341,375,148,1
342,438,360,0
343,439,160,0
344,441,362,0
345,442,363,0
346,443,339,1
347,444,49,0
348,446,174,1
349,447,14,1
350,448,208,1
351,339,364,0
352,449,365,1
353,451,100,1
354,452,368,0
355,453,369,0
356,458,374,0
357,124,14,1
358,460,376,0
359,461,377,0
360,462,378,1
361,464,380,1
362,466,382,0
363,468,148,1
364,331,384,0
365,469,385,1
366,472,132,1
367,474,389,0
368,475,390,1
369,236,173,0
370,478,393,0
371,483,396,1
372,486,399,0
373,487,197,1
374,488,400,1
375,489,401,1
376,490,402,1
377,492,403,1
378,493,404,0
379,495,405,0
380,497,37,1
381,65,407,1
382,148,37,1
383,500,409,0
384,501,410,0
385,502,411,0
386,503,268,1
387,504,412,1
388,505,413,0
389,506,414,0
390,507,415,0
391,383,357,1
392,508,416,0
393,509,417,1
394,510,81,0
395,512,72,1
396,52,153,1
397,513,419,0
398,514,420,0
399,515,421,0
400,516,169,1
401,517,422,0
402,518,423,1
403,519,290,1
404,520,214,1
