,smiles,sequence,interactions
0,2,2,1
1,3,3,1
2,5,5,0
3,6,6,0
4,7,7,0
5,9,9,0
6,10,10,1
7,11,11,0
8,13,13,0
9,14,14,0
10,16,15,1
11,17,16,1
12,19,18,0
13,20,19,1
14,21,20,0
15,22,21,0
16,25,24,1
17,27,26,1
18,29,28,0
19,33,1,1
20,20,33,1
21,35,34,1
22,36,35,0
23,38,38,0
24,20,39,1
25,40,41,0
26,25,42,1
27,41,43,0
28,42,44,0
29,45,30,1
30,46,46,0
31,50,25,1
32,51,49,0
33,13,50,0
34,52,25,1
35,53,52,0
36,56,54,0
37,14,56,0
38,58,25,1
39,61,59,0
40,62,2,1
41,63,60,0
42,64,53,1
43,65,61,0
44,67,8,1
45,68,13,0
46,70,65,0
47,71,66,0
48,72,67,0
49,75,70,0
50,76,71,1
51,52,72,1
52,78,3,1
53,79,53,1
54,81,76,0
55,85,80,0
56,86,81,0
57,20,82,1
58,89,25,1
59,93,87,0
60,94,88,1
61,42,91,0
62,67,92,1
63,96,93,0
64,98,95,0
65,99,96,0
66,102,100,0
67,104,102,0
68,105,103,1
69,107,104,0
70,108,105,0
71,20,106,1
72,109,107,0
73,110,1,1
74,111,108,1
75,112,109,0
76,20,110,1
77,115,1,1
78,116,114,0
79,118,92,1
80,81,116,0
81,120,1,1
82,122,120,0
83,50,118,1
84,20,25,1
85,123,1,1
86,124,121,0
87,56,0,0
88,125,123,0
89,20,124,1
90,126,125,0
91,20,126,1
92,127,128,0
93,20,106,1
94,129,130,1
95,130,131,1
96,131,8,1
97,132,132,0
98,133,133,0
99,33,1,1
100,134,1,0
101,138,139,0
102,139,140,0
103,140,142,0
104,141,143,0
105,142,145,0
106,143,146,1
107,143,147,1
108,144,148,0
109,145,149,0
110,146,25,1
111,147,150,0
112,148,46,0
113,149,151,1
114,150,152,0
115,152,154,1
116,143,156,1
117,53,157,0
118,154,158,0
119,155,159,0
120,157,161,0
121,20,162,1
122,158,163,0
123,6,164,0
124,159,165,0
125,160,140,0
126,20,166,1
127,161,168,0
128,162,150,0
129,163,169,0
130,164,172,0
131,166,173,0
132,20,149,1
133,168,173,0
134,169,139,1
135,171,175,0
136,130,176,1
137,174,177,0
138,176,179,0
139,120,2,1
140,178,182,0
141,179,20,0
142,180,184,0
143,181,185,0
144,182,186,0
145,185,65,0
146,187,189,1
147,190,192,0
148,191,194,0
149,94,195,1
150,192,196,0
151,194,35,0
152,71,198,0
153,195,191,1
154,196,199,0
155,20,200,1
156,94,176,1
157,197,139,1
158,198,203,0
159,65,204,0
160,200,1,1
161,182,79,0
162,162,208,0
163,20,25,1
164,204,1,1
165,205,25,1
166,192,212,0
167,209,3,1
168,210,213,0
169,75,214,0
170,212,216,0
171,213,172,0
172,20,220,1
173,216,223,0
174,217,224,0
175,219,227,0
176,221,228,0
177,222,229,0
178,223,230,1
179,205,232,1
180,225,233,0
181,226,234,1
182,227,235,0
183,130,83,1
184,230,238,0
185,20,239,1
186,231,1,1
187,232,240,0
188,163,242,0
189,223,25,1
190,233,25,1
191,187,243,1
192,20,183,1
193,20,25,1
194,42,247,0
195,237,14,0
196,238,248,0
197,20,249,1
198,239,250,0
199,25,170,1
200,241,251,1
201,20,252,1
202,36,218,0
203,225,253,0
204,223,25,1
205,134,254,0
206,150,258,0
207,244,259,1
208,245,261,1
209,246,8,1
210,124,263,0
211,249,25,1
212,251,1,1
213,232,265,0
214,20,25,1
215,134,266,0
216,223,25,1
217,252,267,0
218,254,269,1
219,255,271,0
220,256,25,1
221,257,25,1
222,94,25,1
223,258,272,0
224,94,42,1
225,259,108,1
226,261,275,0
227,262,277,0
228,264,25,1
229,265,278,0
230,266,279,0
231,109,282,0
232,269,283,1
233,68,35,0
234,271,1,1
235,272,285,0
236,273,286,0
237,50,118,1
238,275,290,0
239,276,1,1
240,277,291,0
241,279,292,0
242,280,293,0
243,282,295,0
244,283,139,1
245,284,297,1
246,70,123,0
247,285,174,1
248,14,103,0
249,286,300,0
250,287,1,1
251,288,1,1
252,290,302,0
253,291,303,0
254,293,17,1
255,20,71,1
256,294,305,0
257,196,306,0
258,296,307,0
259,192,308,0
260,159,311,0
261,210,312,0
262,297,8,1
263,145,314,0
264,298,316,1
265,299,317,0
266,14,318,0
267,147,286,0
268,300,94,0
269,301,0,0
270,302,167,0
271,303,1,1
272,294,285,0
273,304,2,1
274,305,321,0
275,307,1,1
276,308,322,0
277,5,325,0
278,311,326,0
279,134,330,0
280,312,331,0
281,313,1,1
282,314,1,1
283,17,25,1
284,315,334,0
285,316,36,0
286,109,335,0
287,317,336,0
288,318,337,0
289,286,299,0
290,319,338,1
291,52,25,1
292,320,259,1
293,323,1,1
294,325,341,1
295,326,1,1
296,20,343,1
297,330,117,1
298,331,344,0
299,332,346,1
300,70,348,0
301,333,349,0
302,20,183,1
303,42,352,0
304,335,356,1
305,86,358,0
306,337,26,1
307,163,324,0
308,210,359,0
309,163,360,0
310,197,139,1
311,96,362,0
312,338,363,0
313,339,364,0
314,341,283,1
315,342,366,0
316,344,368,0
317,125,279,0
318,346,369,0
319,347,1,1
320,348,370,0
321,14,373,0
322,351,374,1
323,354,342,1
324,355,151,1
325,178,1,1
326,305,375,0
