,smiles,sequence,interactions
0,1,1,1
1,2,2,1
2,4,4,0
3,5,5,0
4,6,6,0
5,7,7,0
6,8,8,1
7,9,9,0
8,10,10,1
9,11,11,0
10,13,13,0
11,14,14,0
12,16,15,1
13,17,16,1
14,19,18,0
15,21,20,0
16,22,21,0
17,23,22,0
18,24,23,0
19,27,26,1
20,28,27,0
21,29,28,0
22,30,29,0
23,31,30,1
24,33,1,1
25,34,32,0
26,20,33,1
27,31,36,1
28,37,37,0
29,20,39,1
30,39,40,1
31,40,41,0
32,41,43,0
33,43,45,0
34,44,32,0
35,45,30,1
36,46,46,0
37,47,47,0
38,48,48,1
39,49,1,1
40,51,49,0
41,13,50,0
42,39,51,1
43,53,52,0
44,55,1,1
45,56,54,0
46,57,55,0
47,14,56,0
48,59,57,0
49,60,58,0
50,62,2,1
51,63,60,0
52,66,62,0
53,67,8,1
54,68,13,0
55,69,64,0
56,70,65,0
57,73,68,0
58,74,69,0
59,75,70,0
60,76,71,1
61,52,72,1
62,77,73,0
63,39,74,1
64,81,76,0
65,85,80,0
66,86,81,0
67,87,15,1
68,20,82,1
69,88,83,1
70,90,84,0
71,91,85,1
72,92,86,0
73,93,87,0
74,94,88,1
75,95,89,0
76,96,93,0
77,98,95,0
78,97,97,0
79,66,98,0
80,66,99,0
81,100,1,1
82,103,101,0
83,104,102,0
84,108,105,0
85,20,106,1
86,109,107,0
87,110,1,1
88,111,108,1
89,20,110,1
90,39,112,1
91,115,1,1
92,116,114,0
93,117,115,0
94,81,116,0
95,23,117,0
96,120,1,1
97,121,119,1
98,122,120,0
99,123,1,1
100,124,121,0
101,126,125,0
102,20,126,1
103,39,127,1
104,127,128,0
105,20,106,1
106,128,129,1
107,129,130,1
108,130,131,1
109,131,8,1
110,33,1,1
111,134,1,0
112,135,134,0
113,136,135,0
114,137,2,1
115,59,136,0
116,31,138,1
117,139,140,0
118,31,144,1
119,142,145,0
120,143,146,1
121,144,148,0
122,147,150,0
123,148,46,0
124,149,151,1
125,150,152,0
126,151,153,0
127,152,154,1
128,31,155,1
129,53,157,0
130,153,1,1
131,154,158,0
132,155,159,0
133,157,161,0
134,39,131,1
135,20,162,1
136,158,163,0
137,6,164,0
138,160,140,0
139,20,166,1
140,12,167,0
141,162,150,0
142,163,169,0
143,39,170,1
144,90,171,0
145,166,173,0
146,167,174,0
147,168,173,0
148,170,1,1
149,171,175,0
150,172,1,1
151,173,101,0
152,174,177,0
153,175,178,1
154,177,180,1
155,47,181,0
156,120,2,1
157,178,182,0
158,88,183,1
159,179,20,0
160,180,184,0
161,181,185,0
162,182,186,0
163,183,187,0
164,184,178,1
165,185,65,0
166,187,189,1
167,189,191,1
168,191,194,0
169,94,195,1
170,193,197,0
171,71,198,0
172,195,191,1
173,196,199,0
174,20,200,1
175,18,201,1
176,198,203,0
177,199,2,1
178,200,1,1
179,201,205,0
180,202,206,0
181,162,208,0
182,204,1,1
183,206,209,0
184,207,211,0
185,210,213,0
186,211,215,0
187,212,216,0
188,31,218,1
189,215,221,0
190,39,222,1
191,216,223,0
192,202,226,0
193,219,227,0
194,221,228,0
195,222,229,0
196,223,230,1
197,205,232,1
198,225,233,0
199,226,234,1
200,228,236,1
201,229,71,1
202,130,83,1
203,230,238,0
204,20,239,1
205,231,1,1
206,39,218,1
207,163,242,0
208,187,243,1
209,234,54,0
210,100,1,1
211,235,8,1
212,31,244,1
213,20,183,1
214,236,246,0
215,42,247,0
216,237,14,0
217,238,248,0
218,20,249,1
219,239,250,0
220,25,170,1
221,240,234,1
222,241,251,1
223,20,252,1
224,36,218,0
225,225,253,0
226,242,15,1
227,134,254,0
228,39,255,1
229,243,256,0
230,18,257,1
231,150,258,0
232,214,181,0
233,244,259,1
234,245,261,1
235,31,15,1
236,31,262,1
237,246,8,1
238,248,2,1
239,250,264,0
240,251,1,1
241,232,265,0
242,134,266,0
243,252,267,0
244,254,269,1
245,247,270,1
246,255,271,0
247,259,108,1
248,97,273,0
249,260,274,0
250,261,275,0
251,262,277,0
252,263,170,1
253,247,85,1
254,265,278,0
255,121,281,1
256,109,282,0
257,269,283,1
258,271,1,1
259,31,284,1
260,272,285,0
261,80,234,1
262,273,286,0
263,39,287,1
264,39,288,1
265,31,289,1
266,275,290,0
267,276,1,1
268,277,291,0
269,280,293,0
270,282,295,0
271,270,296,1
272,285,174,1
273,88,298,1
274,286,300,0
275,287,1,1
276,288,1,1
277,289,301,0
278,291,303,0
279,20,71,1
280,294,305,0
281,295,129,0
282,196,306,0
283,31,309,1
284,159,311,0
285,297,8,1
286,97,313,0
287,39,315,1
288,298,316,1
289,14,318,0
290,147,286,0
291,302,167,0
292,0,167,0
293,303,1,1
294,294,285,0
295,39,320,1
296,304,2,1
297,128,129,1
298,306,15,1
299,307,1,1
300,308,322,0
301,309,324,1
302,311,326,0
303,270,327,1
304,82,328,0
305,60,329,0
306,18,287,1
307,312,331,0
308,31,332,1
309,39,333,1
310,313,1,1
311,314,1,1
312,316,36,0
313,317,336,0
314,318,337,0
315,319,338,1
316,320,259,1
317,321,178,1
318,18,183,1
319,322,339,0
320,323,1,1
321,324,340,0
322,325,341,1
323,326,1,1
324,327,1,1
325,328,342,1
326,329,1,1
327,177,26,1
328,330,117,1
329,80,178,1
330,331,344,0
331,332,346,1
332,322,347,0
333,70,348,0
334,333,349,0
335,20,183,1
336,334,351,0
337,270,353,1
338,97,354,0
339,60,355,0
340,31,119,1
341,31,357,1
342,86,358,0
343,336,1,1
344,337,26,1
345,163,324,0
346,210,359,0
347,49,1,1
348,163,360,0
349,31,361,1
350,96,362,0
351,338,363,0
352,339,364,0
353,341,283,1
354,342,366,0
355,343,367,0
356,345,230,1
357,346,369,0
358,347,1,1
359,348,370,0
360,39,151,1
361,349,191,1
362,121,371,1
363,350,372,0
364,14,373,0
365,351,374,1
366,354,342,1
367,39,85,1
368,355,151,1
369,178,1,1
370,20,376,1
371,39,377,1
372,31,378,1
373,155,379,0
374,94,178,1
375,135,380,0
376,42,381,0
377,360,383,0
378,361,384,0
379,174,385,0
380,314,1,1
381,302,367,0
382,36,386,0
383,362,1,1
384,363,1,1
385,39,296,1
386,364,8,1
387,365,387,1
388,31,40,1
389,332,388,1
390,180,389,0
391,225,390,0
392,66,267,0
393,121,112,1
394,133,392,0
395,305,393,0
396,60,394,0
397,367,8,1
398,368,395,0
399,370,1,1
400,372,121,0
401,277,397,0
402,373,398,1
403,31,88,1
404,375,20,0
405,378,101,0
406,14,144,0
407,20,170,1
408,237,404,0
409,380,405,0
410,91,406,1
411,381,407,0
412,382,408,0
413,162,409,0
414,385,410,0
415,72,411,0
416,386,412,1
417,387,379,0
418,143,413,1
419,39,26,1
420,141,414,0
421,31,415,1
422,33,1,1
423,39,417,1
424,389,15,1
425,390,419,0
426,391,420,0
427,392,200,0
428,31,421,1
429,394,303,0
430,14,22,0
431,154,426,0
432,39,69,1
