,smiles,sequence,interactions
0,0,0,0
1,1,1,1
2,4,4,0
3,7,7,0
4,9,9,1
5,11,11,0
6,12,9,1
7,13,12,1
8,14,13,1
9,17,16,0
10,20,18,1
11,23,21,1
12,26,24,0
13,23,26,1
14,29,28,1
15,30,29,1
16,31,30,0
17,32,28,1
18,33,28,1
19,14,31,1
20,35,33,1
21,36,34,0
22,37,35,0
23,39,36,0
24,40,37,0
25,41,38,1
26,42,39,0
27,43,40,1
28,45,42,0
29,46,43,0
30,47,44,1
31,48,45,0
32,49,46,0
33,14,47,1
34,50,48,0
35,51,51,1
36,53,28,1
37,9,53,1
38,54,54,1
39,56,56,0
40,58,58,1
41,14,59,1
42,59,28,1
43,61,61,0
44,65,65,0
45,67,67,0
46,68,68,0
47,69,69,1
48,71,72,0
49,73,75,0
50,74,76,1
51,75,44,1
52,76,77,1
53,77,78,0
54,78,79,0
55,79,80,0
56,80,81,1
57,81,82,0
58,82,83,1
59,84,85,1
60,85,86,0
61,86,87,1
62,87,88,0
63,90,91,0
64,91,85,1
65,92,92,0
66,93,93,1
67,94,9,1
68,95,94,1
69,96,9,1
70,97,95,0
71,51,55,1
72,98,56,0
73,99,9,1
74,100,97,0
75,101,99,0
76,104,102,0
77,61,103,0
78,23,104,1
79,107,106,1
80,108,107,0
81,23,109,1
82,110,110,0
83,112,112,0
84,113,113,1
85,114,114,0
86,118,118,1
87,76,9,1
88,119,119,0
89,121,120,0
90,122,121,0
91,123,122,1
92,125,124,0
93,121,125,0
94,126,127,0
95,128,128,1
96,129,89,1
97,131,129,0
98,133,131,1
99,134,132,0
100,135,133,0
101,136,134,0
102,137,135,0
103,139,137,0
104,140,139,0
105,141,140,1
106,142,141,0
107,92,142,0
108,144,144,0
109,145,146,1
110,147,148,0
111,148,149,0
112,9,150,1
113,150,152,0
114,153,157,0
115,154,44,1
116,155,158,1
117,156,159,0
118,157,99,0
119,158,160,0
120,159,162,0
121,160,163,0
122,163,28,1
123,23,165,1
124,164,167,0
125,165,168,1
126,167,170,1
127,9,172,1
128,169,173,1
129,170,174,0
130,173,177,0
131,175,180,0
132,176,9,1
133,177,181,0
134,65,182,0
135,178,183,1
136,179,184,1
137,183,190,0
138,184,191,0
139,185,193,1
140,188,196,0
141,189,5,1
142,190,197,0
143,191,3,1
