,smiles,sequence,interactions
0,1,1,1
1,2,2,0
2,3,3,1
3,4,4,0
4,5,5,1
5,6,6,0
6,7,7,0
7,14,13,1
8,15,14,0
9,16,15,0
10,18,3,1
11,19,17,1
12,20,18,1
13,21,19,0
14,22,20,0
15,23,21,1
16,24,22,1
17,25,23,0
18,26,24,0
19,30,29,1
20,31,30,0
21,14,31,1
22,34,32,0
23,35,33,1
24,38,3,1
25,39,36,0
26,41,38,1
27,42,39,0
28,43,40,1
29,44,41,1
30,45,42,0
31,46,43,0
32,47,44,1
33,48,45,0
34,49,46,0
35,14,47,1
36,50,48,0
37,8,50,1
38,52,52,0
39,9,53,1
40,54,54,1
41,55,55,1
42,56,56,0
43,14,59,1
44,60,60,0
45,61,61,0
46,62,62,1
47,63,63,0
48,64,64,0
49,66,66,0
50,68,68,0
51,69,69,1
52,70,70,0
53,6,71,0
54,8,73,1
55,74,76,1
56,75,44,1
57,76,77,1
58,77,78,0
59,78,79,0
60,79,80,0
61,81,82,0
62,82,83,1
63,83,84,0
64,84,85,1
65,87,88,0
66,88,89,1
67,89,90,1
68,90,91,0
69,91,85,1
70,93,93,1
71,95,94,1
72,51,55,1
73,98,56,0
74,100,97,0
75,8,98,1
76,101,99,0
77,103,101,0
78,61,103,0
79,23,104,1
80,105,105,0
81,107,106,1
82,112,112,0
83,113,113,1
84,114,114,0
85,115,115,0
86,117,117,1
87,119,119,0
88,122,121,0
89,123,122,1
90,124,123,1
91,125,124,0
92,121,125,0
93,62,126,1
94,127,3,1
95,128,128,1
96,129,89,1
97,130,69,1
98,131,129,0
99,132,130,1
100,133,131,1
101,134,132,0
102,135,133,0
103,136,134,0
104,138,136,0
105,139,137,0
106,8,138,1
107,140,139,0
108,142,141,0
109,143,143,1
110,144,144,0
111,130,145,1
112,8,53,1
113,145,146,1
114,146,147,1
115,8,38,1
116,147,148,0
117,9,150,1
118,149,151,0
119,150,152,0
120,151,154,1
121,44,155,1
122,152,156,0
123,153,157,0
124,154,44,1
125,155,158,1
126,157,99,0
127,158,160,0
128,44,161,1
129,159,162,0
130,160,163,0
131,161,164,1
132,23,165,1
133,164,167,0
134,165,168,1
135,166,169,0
136,168,171,0
137,169,173,1
138,170,174,0
139,171,175,0
140,172,176,1
141,173,177,0
142,8,179,1
143,175,180,0
144,177,181,0
145,65,182,0
146,179,184,1
147,180,185,0
